Time,CO2,Humidity,Temperature,Alert
0.37356076,532.8961,56.471058,20.102266,No
-0.24073833,506.66528,56.98521,20.201197,No
-0.87843287,471.84497,57.527134,20.245892,No
-1.4812586,431.16745,58.109585,20.235666,No
-2.0069067,387.83237,58.735703,20.17296,No
-2.4337754,345.11893,59.40168,20.063234,No
-2.7569642,305.98865,60.100704,19.913681,No
-2.9799588,272.81335,60.825935,19.731466,No
-3.1063237,247.29396,61.570854,19.526155,No
-3.1339796,230.57895,62.33094,19.307787,No
-3.0517101,223.47963,63.105053,19.087557,No
-2.8386738,226.67088,63.896835,18.879128,No
-2.4678552,240.78572,64.71524,18.699135,No
-1.9134264,266.35168,65.57214,18.565445,No
-1.1623677,303.52112,66.475426,18.49587,No
-0.22976783,351.55112,67.41871,18.506275,No
0.8273753,408.08426,68.37138,18.606174,No
1.906923,468.4886,69.27733,18.79433,No
2.8787274,525.85876,70.06856,19.05751,No
3.6208432,572.2813,70.69172,19.372982,No
4.0484147,601.07385,71.12933,19.715328,No
4.1139565,608.6225,71.40342,20.060684,No
3.790287,594.7219,71.56452,20.386461,No
3.0684862,561.6741,71.67833,20.670237,No
