start_time,Occupancy,co2,humidity,temp
2023-09-18 01:00:00.000 +0100,0,413,67,20
2023-09-18 02:00:00.000 +0100,0,420,69,20
2023-09-18 03:00:00.000 +0100,1,426,67,20
2023-09-18 04:00:00.000 +0100,1,428,67,20
2023-09-18 05:00:00.000 +0100,0,434,68,21
2023-09-18 06:00:00.000 +0100,0,440,68,21
2023-09-18 07:00:00.000 +0100,1,449,68,21
2023-09-18 08:00:00.000 +0100,1,460,66,19
2023-09-18 09:00:00.000 +0100,2,484,66,21
2023-09-18 10:00:00.000 +0100,8,580,69,21
2023-09-18 11:00:00.000 +0100,9,648,68,20
2023-09-18 12:00:00.000 +0100,6,637,68,22
2023-09-18 13:00:00.000 +0100,4,607,66,20
2023-09-18 14:00:00.000 +0100,8,655,64,20
2023-09-18 15:00:00.000 +0100,6,668,59,22
2023-09-18 16:00:00.000 +0100,2,515,56,22
2023-09-18 17:00:00.000 +0100,2,447,57,20
2023-09-18 18:00:00.000 +0100,2,418,55,22
2023-09-18 19:00:00.000 +0100,2,399,56,20
2023-09-18 20:00:00.000 +0100,0,393,59,21
2023-09-18 21:00:00.000 +0100,0,390,59,21
2023-09-18 22:00:00.000 +0100,1,391,60,19
2023-09-18 23:00:00.000 +0100,0,387,60,19
2023-09-19 00:00:00.000 +0100,0,387,58,19
2023-09-19 01:00:00.000 +0100,0,386,60,21
2023-09-19 02:00:00.000 +0100,0,388,58,21
2023-09-19 03:00:00.000 +0100,1,388,61,19
2023-09-19 04:00:00.000 +0100,0,388,61,19
2023-09-19 05:00:00.000 +0100,0,390,62,19
2023-09-19 06:00:00.000 +0100,1,389,63,21
2023-09-19 07:00:00.000 +0100,2,388,61,19
2023-09-19 08:00:00.000 +0100,0,387,64,19
2023-09-19 09:00:00.000 +0100,1,395,62,19
2023-09-19 10:00:00.000 +0100,9,447,66,19
2023-09-19 11:00:00.000 +0100,10,628,68,19
2023-09-19 12:00:00.000 +0100,5,669,68,22
2023-09-19 13:00:00.000 +0100,7,683,69,22
2023-09-19 14:00:00.000 +0100,11,702,69,22
2023-09-19 15:00:00.000 +0100,3,579,70,20
2023-09-19 16:00:00.000 +0100,1,495,67,20
2023-09-19 17:00:00.000 +0100,3,427,67,22
2023-09-19 18:00:00.000 +0100,3,397,67,22
2023-09-19 19:00:00.000 +0100,3,396,68,20
2023-09-19 20:00:00.000 +0100,1,395,70,20
2023-09-19 21:00:00.000 +0100,3,396,70,22
2023-09-19 22:00:00.000 +0100,0,394,68,20
2023-09-19 23:00:00.000 +0100,1,397,68,20
2023-09-20 00:00:00.000 +0100,1,396,68,20
2023-09-20 01:00:00.000 +0100,1,395,68,19
2023-09-20 02:00:00.000 +0100,0,395,70,19
2023-09-20 03:00:00.000 +0100,1,391,70,19
2023-09-20 04:00:00.000 +0100,1,394,68,21
2023-09-20 05:00:00.000 +0100,1,394,70,21
2023-09-20 06:00:00.000 +0100,1,396,68,19
2023-09-20 07:00:00.000 +0100,0,396,70,19
2023-09-20 08:00:00.000 +0100,0,392,68,21
2023-09-20 09:00:00.000 +0100,1,395,68,21
2023-09-20 10:00:00.000 +0100,1,414,71,19
2023-09-20 11:00:00.000 +0100,0,427,71,21
2023-09-20 12:00:00.000 +0100,2,463,69,19
2023-09-20 13:00:00.000 +0100,0,547,69,19
2023-09-20 14:00:00.000 +0100,0,499,71,21
2023-09-20 15:00:00.000 +0100,1,471,70,21
2023-09-20 16:00:00.000 +0100,0,479,68,19
2023-09-20 17:00:00.000 +0100,1,460,70,21
2023-09-20 18:00:00.000 +0100,1,426,69,21
2023-09-20 19:00:00.000 +0100,1,417,69,19
2023-09-20 20:00:00.000 +0100,1,406,68,19
2023-09-20 21:00:00.000 +0100,0,402,66,21
2023-09-20 22:00:00.000 +0100,1,401,66,21
2023-09-20 23:00:00.000 +0100,1,401,65,21
2023-09-21 00:00:00.000 +0100,0,402,65,21
2023-09-21 01:00:00.000 +0100,1,401,64,19
2023-09-21 02:00:00.000 +0100,1,403,64,21
2023-09-21 03:00:00.000 +0100,0,405,65,21
2023-09-21 04:00:00.000 +0100,0,414,63,18
2023-09-21 05:00:00.000 +0100,1,421,64,18
2023-09-21 06:00:00.000 +0100,1,427,63,20
2023-09-21 07:00:00.000 +0100,1,432,63,20
2023-09-21 08:00:00.000 +0100,0,437,63,20
2023-09-21 09:00:00.000 +0100,3,454,63,20
2023-09-21 10:00:00.000 +0100,15,657,64,20
2023-09-21 11:00:00.000 +0100,16,791,62,19
2023-09-21 12:00:00.000 +0100,8,787,63,19
2023-09-21 13:00:00.000 +0100,5,794,63,19
2023-09-21 14:00:00.000 +0100,5,774,61,21
2023-09-21 15:00:00.000 +0100,4,778,63,19
2023-09-21 16:00:00.000 +0100,0,736,63,19
2023-09-21 17:00:00.000 +0100,0,588,60,21
2023-09-21 18:00:00.000 +0100,0,516,62,21
2023-09-21 19:00:00.000 +0100,1,481,63,21
2023-09-21 20:00:00.000 +0100,0,463,62,21
2023-09-21 21:00:00.000 +0100,0,452,60,21
2023-09-21 22:00:00.000 +0100,1,442,60,20
2023-09-21 23:00:00.000 +0100,0,435,60,20
2023-09-22 00:00:00.000 +0100,0,430,60,20
2023-09-22 01:00:00.000 +0100,1,424,59,20
2023-09-22 02:00:00.000 +0100,1,424,59,18
2023-09-22 03:00:00.000 +0100,0,423,58,20
2023-09-22 04:00:00.000 +0100,1,420,57,20
2023-09-22 05:00:00.000 +0100,0,425,58,17
2023-09-22 06:00:00.000 +0100,1,426,56,19
2023-09-22 07:00:00.000 +0100,0,426,58,17
2023-09-22 08:00:00.000 +0100,0,426,58,19
2023-09-22 09:00:00.000 +0100,1,431,56,17
2023-09-22 10:00:00.000 +0100,5,578,58,17
2023-09-22 11:00:00.000 +0100,11,771,59,18
2023-09-22 12:00:00.000 +0100,6,813,58,20
2023-09-22 13:00:00.000 +0100,2,732,57,19
2023-09-22 14:00:00.000 +0100,2,651,57,19
2023-09-22 15:00:00.000 +0100,0,581,56,21
2023-09-22 16:00:00.000 +0100,2,536,56,19
2023-09-22 17:00:00.000 +0100,2,502,56,21
2023-09-22 18:00:00.000 +0100,0,479,58,19
2023-09-22 19:00:00.000 +0100,0,462,56,21
2023-09-22 20:00:00.000 +0100,2,448,58,21
2023-09-22 21:00:00.000 +0100,2,435,57,20
2023-09-22 22:00:00.000 +0100,1,427,57,18
2023-09-22 23:00:00.000 +0100,1,423,57,18
2023-09-23 00:00:00.000 +0100,1,419,55,20
2023-09-23 01:00:00.000 +0100,1,417,55,18
2023-09-23 02:00:00.000 +0100,1,414,57,18
2023-09-23 03:00:00.000 +0100,1,411,55,18
2023-09-23 04:00:00.000 +0100,1,411,56,17
2023-09-23 05:00:00.000 +0100,1,414,54,17
2023-09-23 06:00:00.000 +0100,1,413,54,17
2023-09-23 07:00:00.000 +0100,0,417,56,19
2023-09-23 08:00:00.000 +0100,0,420,56,19
2023-09-23 09:00:00.000 +0100,1,420,54,19
2023-09-23 10:00:00.000 +0100,0,419,54,17
2023-09-23 11:00:00.000 +0100,0,414,56,19
2023-09-23 12:00:00.000 +0100,0,412,54,19
2023-09-23 13:00:00.000 +0100,0,407,55,17
2023-09-23 14:00:00.000 +0100,1,409,53,20
2023-09-23 15:00:00.000 +0100,1,409,54,20
2023-09-23 16:00:00.000 +0100,0,411,54,20
2023-09-23 17:00:00.000 +0100,1,412,54,18
2023-09-23 18:00:00.000 +0100,0,408,52,18
2023-09-23 19:00:00.000 +0100,0,408,55,18
2023-09-23 20:00:00.000 +0100,0,404,53,18
2023-09-23 21:00:00.000 +0100,1,402,55,18
2023-09-23 22:00:00.000 +0100,0,400,56,18
2023-09-23 23:00:00.000 +0100,1,399,56,18
2023-09-24 00:00:00.000 +0100,1,399,55,20
2023-09-24 01:00:00.000 +0100,0,398,56,20
2023-09-24 02:00:00.000 +0100,1,399,59,18
2023-09-24 03:00:00.000 +0100,1,399,60,20
2023-09-24 04:00:00.000 +0100,0,397,60,18
2023-09-24 05:00:00.000 +0100,1,395,63,20
2023-09-24 06:00:00.000 +0100,0,398,63,20
2023-09-24 07:00:00.000 +0100,0,398,64,18
2023-09-24 08:00:00.000 +0100,1,398,63,18
2023-09-24 09:00:00.000 +0100,0,408,65,18
2023-09-24 10:00:00.000 +0100,2,432,66,18
2023-09-24 11:00:00.000 +0100,2,449,67,21
2023-09-24 12:00:00.000 +0100,2,458,65,21
2023-09-24 13:00:00.000 +0100,2,492,65,19
2023-09-24 14:00:00.000 +0100,2,512,65,19
2023-09-24 15:00:00.000 +0100,0,470,65,21
2023-09-24 16:00:00.000 +0100,2,433,66,21
2023-09-24 17:00:00.000 +0100,0,419,64,19
2023-09-24 18:00:00.000 +0100,0,412,66,21
2023-09-24 19:00:00.000 +0100,1,409,64,19
